PMS,RA,Dec,B,R,K
CFHT-13  ,4:31:26.69 ,27:03:18.8 ,,,13.45
CFHT-5  ,4:32:50.26 ,24:22:11.5 ,,,11.28
L1551IRS5 ,4:31:34.07 ,18:08:04.9 ,20.11 ,17.10 ,9.82
J04325119+1730092,4:32:51.19 ,17:30:09.2 ,,,13.55
LkHa358  ,4:31:36.13 ,18:13:43.2 ,19.40 ,16.50 ,9.69
MHO 8  ,4:33:01.97 ,24:21:00.0 ,19.53 ,16.52 ,9.73
HH30 IRS ,4:31:37.50 ,18:12:24.4 ,19.48 ,16.77 ,14.24
GHTauA  ,4:33:06.22 ,24:09:33.9 ,14.57 ,11.63 ,7.79
HLTau  ,4:31:38.43 ,18:13:57.6 ,14.20 ,10.63 ,7.41
GHTauB  ,4:33:06.22 ,24:09:33.9 ,14.57 ,11.63 ,7.79
XZTauA  ,4:31:40.07 ,18:13:57.1 ,16.11 ,13.56 ,7.29
V807TauA ,4:33:06.64 ,24:09:54.9 ,11.68 ,10.67 ,6.96
XZTauB  ,4:31:40.07 ,18:13:57.1 ,16.11 ,13.56 ,7.29
V807TauB ,4:33:06.64 ,24:09:54.9 ,11.68 ,10.67 ,6.96
L1551NE  ,4:31:44.44 ,18:08:31.5 ,,,11.41
KPNO-14  ,4:33:07.81 ,26:16:06.6 ,20.60 ,18.70 ,10.27
HKTauA  ,4:31:50.56 ,24:24:18.0 ,17.18 ,14.40 ,8.59
CFHT-12  ,4:33:09.46 ,22:46:48.7 ,,19.92 ,11.55
HKTauB  ,4:31:50.56 ,24:24:18.0 ,17.18 ,14.40 ,8.59
V830Tau  ,4:33:10.03 ,24:33:43.3 ,13.33 ,10.95 ,8.42
V710TauA ,4:31:57.70 ,18:21:37.0 ,14.95 ,12.70 ,8.69
I04301+2608 ,4:33:14.36 ,26:14:23.5 ,0.00 ,19.26 ,12.48
V710TauB ,4:31:57.70 ,18:21:37.0 ,14.95 ,12.70 ,8.69
I04302+2247 ,4:33:16.50 ,22:53:20.4 ,0.00 ,18.04 ,11.72
J1-665  ,4:31:58.44 ,25:43:29.9 ,17.43 ,14.91 ,9.56
I04303+2240 ,4:33:19.07 ,22:46:34.2 ,20.39 ,16.22 ,7.67
XEST17-036 ,4:33:26.21 ,22:45:29.3 ,20.47 ,17.49 ,9.92
KPNO-9  ,4:35:51.43 ,22:49:11.9 ,,,14.19
GITau  ,4:33:34.05 ,24:21:17.0 ,,,7.89
XEST08-047 ,4:35:52.09 ,22:55:03.9 ,18.56 ,15.85 ,9.81
GKTau  ,4:33:34.56 ,24:21:05.8 ,,,7.47
HPTau  ,4:35:52.77 ,22:54:23.1 ,0.00 ,0.00 ,7.62
ISTauA  ,4:33:36.78 ,26:09:49.2 ,17.44 ,14.35 ,8.64
XEST08-049 ,4:35:52.86 ,22:50:58.5 ,18.50 ,15.63 ,9.75
ISTauB  ,4:33:36.78 ,26:09:49.2 ,17.44 ,14.35 ,8.64
HPTau/G3 ,4:35:53.49 ,22:54:08.9 ,,,8.80
DLTau  ,4:33:39.06 ,25:20:38.2 ,13.81 ,11.52 ,7.96
HPTau/G2 ,4:35:54.15 ,22:54:13.4 ,11.66 ,10.06 ,7.23
DLTau  ,4:33:39.06 ,25:20:38.2 ,13.81 ,11.52 ,7.96
Haro6-28A ,4:35:56.84 ,22:54:36.0 ,16.91 ,15.39 ,9.53
HNTauB  ,4:33:39.35 ,17:51:52.3 ,15.50 ,13.31 ,8.38
Haro6-28B ,4:35:56.84 ,22:54:36.0 ,16.91 ,15.39 ,9.53
HNTauA  ,4:33:39.35 ,17:51:52.3 ,15.50 ,13.31 ,8.38
XEST09-042 ,4:35:58.92 ,22:38:35.3 ,13.90 ,11.44 ,8.37
J04333905+2227207,4:33:39.05 ,22:27:20.7 ,19.08 ,16.13 ,10.71
J04361030+2159364,4:36:10.31 ,21:59:36.5 ,,20.16 ,13.65
J04334291+2526470,4:33:42.91 ,25:26:47.0 ,,,13.33
CFHT-2  ,4:36:10.38 ,22:59:56.0 ,,19.17 ,13.75
J04334465+2615005,4:33:44.65 ,26:15:00.5 ,20.23 ,17.91 ,9.74
LkCa14  ,4:36:19.09 ,25:42:58.9 ,12.18 ,10.73 ,8.58
DMTau  ,4:33:48.71 ,18:10:09.9 ,15.61 ,13.61 ,9.52
J04362151p2351165,4:36:21.51 ,23:51:16.5 ,18.91 ,17.43 ,12.24
CITau  ,4:33:52.00 ,22:50:30.1 ,14.30 ,11.85 ,7.79
CFHT-3  ,4:36:38.96 ,22:58:11.9 ,,19.21 ,13.72
XEST17-059 ,4:33:52.52 ,22:56:26.9 ,17.31 ,14.78 ,9.11
J04373705+2331080,4:37:37.05 ,23:31:08.0 ,20.23 ,17.91 ,15.44
J04335245p2612548,4:33:52.45 ,26:12:54.8 ,,,13.99
ITG 1  ,4:37:56.70 ,25:46:22.9 ,19.14 ,17.45 ,12.70
ITTauB  ,4:33:54.70 ,26:13:27.5 ,15.95 ,13.06 ,7.86
ITG 2  ,4:38:00.83 ,25:58:57.2 ,20.41 ,18.16 ,10.10
ITTauA  ,4:33:54.70 ,26:13:27.5 ,15.95 ,13.06 ,7.86
J04381486+2611399,4:38:14.86 ,26:11:39.9 ,19.84 ,19.45 ,12.98
J2-2041  ,4:33:55.46 ,18:38:39.0 ,16.44 ,14.47 ,9.61
GMTau  ,4:38:21.34 ,26:09:13.7 ,18.39 ,16.16 ,10.63
JH108  ,4:34:10.99 ,22:51:44.5 ,16.68 ,13.90 ,9.43
DOTau  ,4:38:28.58 ,26:10:49.4 ,14.61 ,12.12 ,7.30
CFHT-1  ,4:34:15.27 ,22:50:31.0 ,,,11.85
HVTauA  ,4:38:35.28 ,26:10:38.6 ,15.02 ,11.88 ,7.91
HBC407  ,4:34:18.03 ,18:30:06.6 ,14.44 ,13.00 ,9.90
HVTauB  ,4:38:35.28 ,26:10:38.6 ,15.02 ,11.88 ,7.91
XEST08-003 ,4:34:56.93 ,22:58:35.8 ,16.00 ,13.46 ,9.27
HVTauC  ,4:38:35.49 ,26:10:41.5 ,15.02 ,11.88 ,7.91
AATau  ,4:34:55.42 ,24:28:53.1 ,14.39 ,12.02 ,8.05
CFHT-6  ,4:39:03.96 ,25:44:26.4 ,19.99 ,18.92 ,11.37
J04345973+2807017,4:34:59.73 ,28:07:01.7 ,20.15 ,20.45 ,14.65
J04390525p2337450,4:39:05.25 ,23:37:45.0 ,17.30 ,14.55 ,11.55
CFHT-11  ,4:35:08.50 ,23:11:39.8 ,20.35 ,18.01 ,11.59
I04361p2547 ,4:39:13.89 ,25:53:20.8 ,,,10.72
HOTau  ,4:35:20.20 ,22:32:14.6 ,15.60 ,14.06 ,10.24
