_RAJ2000,_DEJ2000,GaiaDR3,SigMA,stability,Dist,e_Dist,E_Dist,X,e_X,Y,e_Y,Z,e_Z,E_X,E_Y,E_Z,VtRA,e_VtRA,VtDE,e_VtDE,E_VtRA,E_VtDE,VtRALSR,VtDELSR,RV,_RA,_DE
240.6326819,-21.5429397,6243566509068156928,2,96.5,145.204,1.540548,1.554699,132.24,1.402999,-20.197,0.216248,56.4715,0.599136,1.415887,0.214279,0.60464,-6.822,0.10367,-17.17,0.1961,0.09892,0.1868,0.5647,-5.13,-7.196,240.63268,-21.54294
240.5678003,-21.5182256,6243567471140865664,3,100.0,143.783,0.971363,0.952617,130.878,0.884178,-20.051,0.132846,56.0587,0.378718,0.867114,0.13546,0.371409,-8.221,0.06325,-15.92,0.10384,0.06554,0.11476,-0.817,-3.882,-6.47,240.5678,-21.51823
240.479035,-21.5232039,6243570219920389504,3,100.0,139.818,1.755759,1.763385,127.194,1.597227,-19.638,0.247675,54.6374,0.686107,1.604164,0.246604,0.689087,-7.63,0.12729,-15.73,0.20583,0.13314,0.21377,-0.204,-3.703,-6.457,240.47903,-21.5232
240.4860042,-21.4278172,6243571972266659200,3,100.0,141.613,1.731799,1.610384,128.794,1.575038,-19.703,0.224062,55.4801,0.678472,1.464614,0.240955,0.630904,-8.16,0.11857,-15.6,0.18962,0.11955,0.20603,-0.736,-3.583,-6.485,240.486,-21.42782
240.7172406,-21.3583394,6243593889478560384,3,99.3,147.672,6.051627,6.571704,134.487,5.511305,-20.052,0.892373,57.6034,2.3606,5.984947,0.821751,2.56347,-6.803,0.42707,-15.55,0.72621,0.36841,0.63564,0.562,-3.537,-6.535,240.71724,-21.35834
240.8053611,-21.2159286,6243603892463613824,3,100.0,137.614,0.966149,0.952543,125.346,0.880015,-18.302,0.126687,53.7692,0.377498,0.867623,0.128496,0.372182,-7.942,0.06572,-15.65,0.11269,0.06754,0.11241,-0.6,-3.668,-6.586,240.80536,-21.21593
240.8237492,-21.1435072,6243606263285592960,3,100.0,139.457,0.391453,0.383885,127.011,0.356516,-18.388,0.050618,54.5748,0.15319,0.349624,0.051616,0.150228,-7.453,0.02455,-15.69,0.04609,0.02554,0.04328,-0.116,-3.722,-6.609,240.82375,-21.14351
240.0132697,-21.5286803,6243613307031457920,3,100.0,137.593,0.429954,0.414308,124.77,0.389884,-20.011,0.060257,54.4411,0.170118,0.375697,0.062532,0.163928,-8.06,0.02855,-15.62,0.05157,0.0291,0.05235,-0.513,-3.611,-6.393,240.01327,-21.52868
240.0023333,-21.5091247,6243613891147012096,5,10.1,173.348,2.487309,2.468565,157.172,2.255195,-25.187,0.358682,68.6465,0.984981,2.2382,0.361405,0.977558,-9.08,0.14357,-14.63,0.21843,0.15369,0.22252,-1.53,-2.628,-4.769,240.00233,-21.50912
240.1781214,-21.4606794,6243614921939322368,9,97.2,124.404,2.623203,2.677776,112.915,2.380951,-17.767,0.382421,49.1002,1.035335,2.430485,0.374627,1.056874,-10.57,0.29173,-15.91,0.37078,0.26505,0.34241,-3.066,-3.906,-5.285,240.17812,-21.46068
240.3012864,-21.3493069,6243623168277267328,3,99.3,140.444,0.570751,0.550541,127.538,0.518302,-19.671,0.077109,55.4229,0.225233,0.499949,0.07994,0.217258,-8.951,0.04443,-16.27,0.06147,0.04006,0.06565,-1.479,-4.282,-6.482,240.30129,-21.34931
240.2833458,-21.2219214,6243636877812914048,3,100.0,145.988,0.455084,0.453243,132.502,0.413046,-20.232,0.062814,57.8473,0.180326,0.411374,0.06307,0.179596,-8.411,0.03003,-15.63,0.04742,0.02858,0.04821,-0.934,-3.664,-6.515,240.28335,-21.22192
240.4231644,-21.1940358,6243648216526221696,3,100.0,141.559,1.444188,1.326758,128.595,1.311926,-19.358,0.18143,55.9254,0.570552,1.20525,0.197489,0.524159,-7.85,0.09358,-15.58,0.15132,0.09302,0.15945,-0.41,-3.62,-6.542,240.42316,-21.19404
240.5178839,-20.8452633,6243676322792317952,3,100.0,141.725,1.707145,1.754839,128.683,1.550049,-18.593,0.230213,56.4,0.679365,1.593353,0.223956,0.698345,-7.809,0.12013,-15.45,0.20839,0.11175,0.19442,-0.393,-3.552,-6.652,240.51788,-20.84526
240.4475897,-20.8294811,6243676975628480000,3,20.2,145.134,1.799433,2.000404,131.708,1.632969,-19.118,0.263504,57.8918,0.717765,1.815348,0.237031,0.797929,-10.45,0.15863,-16.45,0.22959,0.15686,0.22197,-3.012,-4.557,-6.647,240.44759,-20.82948
241.9168506,-21.8119611,6243685084521547008,3,82.3,149.131,0.359202,0.36607,137.08,0.330176,-19.259,0.047274,55.4816,0.133635,0.336489,0.046387,0.13619,-8.561,0.02506,-14.62,0.03647,0.0265,0.03744,-1.509,-2.47,-6.564,241.91685,-21.81196
241.8600181,-21.73819,6243686488973146752,3,99.9,147.377,4.91619,5.084214,135.389,4.516306,-18.977,0.654668,55.0418,1.836077,4.670663,0.633032,1.89883,-7.728,0.36248,-16.4,0.61294,0.36742,0.56787,-0.661,-4.267,-6.577,241.86002,-21.73819
241.9510667,-21.6511661,6243693262138792448,4,93.0,156.059,1.487875,1.439258,143.412,1.367297,-19.768,0.182308,58.2808,0.555653,1.32262,0.188466,0.537497,-8.285,0.10164,-15.37,0.15492,0.09273,0.14328,-1.243,-3.246,-6.848,241.95107,-21.65117
